variable,label,unit,source_block,level_count,level_mean,level_std,level_min,level_25pct,level_50pct,level_75pct,level_max,level_missing_observations,level_skewness,level_kurtosis,level_iqr,level_coefficient_of_variation,return_count,return_mean,return_std,return_min,return_25pct,return_50pct,return_75pct,return_max,return_missing_observations,return_skewness,return_kurtosis,return_iqr,return_coefficient_of_variation,level_adf_p_value,level_kpss_p_value,level_pp_status,return_adf_p_value,return_kpss_p_value,return_pp_status,observations,mean_return,std_dev,annualized_volatility,mean_abs_return,max_abs_return,min_return,max_return,rolling_volatility_mean,rolling_volatility_max,lags,arch_lm_statistic,arch_lm_p_value,arch_lm_f_statistic,arch_lm_f_p_value,trend_strength,seasonal_strength,residual_std,imputed_observations,imputation_context
colombia_cocoa_price_cop_kg,Colombian cocoa price,COP/kg,colombia_domestic_prices,53.0,17334.748640292742,9168.366460639196,7926.075,8914.925,12536.694,25687.8,34395.325,0,0.6010285977067712,-1.2933077989475414,16772.875,0.5289010328842221,52.0,0.01413851431131318,0.10863726698894988,-0.3143519484619001,-0.016014295802142014,0.01791461085551512,0.03954975879806623,0.48776987478691003,1,1.1025832758801315,8.704060053488616,0.055564054600208246,7.683782368987798,0.6430774503564873,0.01,arch_not_installed,6.5276775662075344e-06,0.1,arch_not_installed,52.0,0.01413851431131318,0.10863726698894988,0.3763305320405727,0.06191010451790684,0.48776987478691003,-0.3143519484619001,0.48776987478691003,0.08133082844343327,0.1730581798954382,6.0,3.321381202671735,0.7675622418284435,0.5058499648240202,0.80009984776181,0.7256131257127323,0.0,5113.768588296957,1,iterative_block_specific
world_cocoa_price_usd_mt,World cocoa benchmark price,USD/metric_ton,international_prices,53.0,4943.435094339623,2660.6121691131843,2239.13,2512.31,3630.14,7089.17,10745.11,0,0.6009122991337824,-1.0473354498724858,4576.860000000001,0.5382112070531001,52.0,0.01624391877622779,0.105962708501658,-0.25628332305931156,-0.0365255498781347,0.024491947109581615,0.04378395252932544,0.3177182492976635,1,0.3841458584395659,1.7708510808418079,0.08030950240746014,6.523223241963597,0.648188205988426,0.01,arch_not_installed,1.5945857024196633e-06,0.1,arch_not_installed,52.0,0.01624391877622779,0.105962708501658,0.3670655896649645,0.07376040920753764,0.3177182492976635,-0.25628332305931156,0.3177182492976635,0.08450867144799187,0.17918181326326,6.0,16.105267148295347,0.013199971178278414,3.501761898432569,0.007242634285283989,0.8210789386942968,0.09301821589373616,1193.1550082057506,0,not_needed
eu_hicp_chocolate_index,EU chocolate or cocoa consumer price index,index,eu_market_prices,53.0,128.82867924528298,19.72674034807886,104.25,112.17,125.2,141.42,164.99,0,0.5185174503678078,-0.8770970369392979,29.249999999999986,0.15312382664825888,52.0,0.008555556007831675,0.008560418862288453,-0.004860572179416596,0.0008227630317238663,0.009258306829473453,0.013996087907203678,0.028738184656156476,1,0.3784071047369677,-0.3976731770272264,0.013173324875479812,1.0005683855558103,0.9843622737702696,0.01,arch_not_installed,0.012945567986700676,0.1,arch_not_installed,52.0,0.008555556007831675,0.008560418862288451,0.02965416080710912,0.009629117761557313,0.028738184656156476,-0.004860572179416596,0.028738184656156476,0.007288862967234072,0.012131440508608813,6.0,18.360388244572658,0.005391938697369964,4.317807523699678,0.001971948347263994,0.9929423452708999,0.4542058321560972,1.680327747905353,0,not_needed
cop_usd_exchange_rate,COP to USD exchange rate,COP/USD,macro_controls,53.0,4147.159954759556,302.3324204603234,3773.384193548387,3922.212,4047.4116129032254,4307.567419354838,4926.660666666667,0,0.9872693477011928,0.1321387619178509,385.35541935483843,0.07290107537649872,52.0,-0.0004497274651750454,0.03179454267690472,-0.07565786164761938,-0.017918902022099482,-0.006519057683994049,0.015456708910819059,0.10542629179217715,1,0.7860258789317183,1.63067294405846,0.03337561093291854,70.69735592983959,0.5245757178406786,0.1,arch_not_installed,3.3792443032017106e-09,0.1,arch_not_installed,52.0,-0.0004497274651750454,0.03179454267690472,0.1101395266396319,0.023522615691928636,0.10542629179217715,-0.07565786164761938,0.10542629179217715,0.031115747429902654,0.04922138747540713,6.0,2.1703071119437194,0.903387895322137,0.32185934461517485,0.9215685320150913,0.3707039258486864,0.06271569507761876,242.80017490993814,0,not_needed
brent_oil_usd_bbl,Brent oil price,USD/barrel,macro_controls,53.0,82.6133962264151,13.410039428525215,62.54,74.17,80.92,86.51,122.71,0,1.142231850956653,1.3693550802124386,12.340000000000003,0.162322819797565,52.0,-0.0023720420094933063,0.07462182557271407,-0.12200326060405361,-0.05612040334077609,-0.007497494186317473,0.051554161594754705,0.18825811991214964,1,0.3650916248384649,-0.42573489617092175,0.10767456493553079,31.45889713338344,0.4603412190255464,0.021935062911299066,arch_not_installed,0.0809817395034097,0.1,arch_not_installed,52.0,-0.0023720420094933067,0.07462182557271407,0.2584975864909666,0.06119745433234628,0.18825811991214964,-0.12200326060405361,0.18825811991214964,0.07457716033805054,0.11687241942715428,6.0,11.168397182300826,0.0833092756121298,2.084158517335513,0.0772954656841003,0.5363465411408835,0.1701546753030373,9.24825885741479,0,not_needed
nasa_precipitation_mm_day,NASA precipitation,mm/day,climate_extension,53.0,5.7256603773584915,3.5938620267135604,0.03,3.57,5.08,7.81,14.67,0,0.5678712403053695,-0.14620915647433774,4.24,0.6276764233039566,52.0,0.08513155097045527,0.8965406865526033,-1.6253687345062946,-0.3741870005814809,0.057971312494181595,0.4714344876549368,1.845826690498331,1,0.1511417471065464,-0.22833446295867343,0.8456214882364177,10.531238727974614,0.0002730179935272597,0.1,arch_not_installed,0.005591348818684477,0.1,arch_not_installed,52.0,0.08513155097045526,0.8965406865526034,3.105708040323585,0.6729216504835863,1.845826690498331,-1.6253687345062946,1.845826690498331,0.8933684797230497,1.1850183048811294,6.0,11.670897061650372,0.0697265038929699,2.209811046824122,0.06253365140214336,0.0,0.5047056606206972,2.5256102675713805,0,not_needed
nasa_temperature_c,NASA air temperature,degC,climate_extension,53.0,25.900377358490566,1.4050923351320135,24.03,25.04,25.4,26.21,29.58,0,1.2115659058282928,0.6489981328545187,1.1700000000000017,0.05424987889882621,52.0,-0.00300635008915637,0.02946434380967561,-0.0697133326132162,-0.015968694377036644,0.0007770009333671603,0.013228377975561305,0.07725427784308675,1,-0.21674054414847999,0.6275647978346997,0.02919707235259795,9.800702824315373,0.05539543346879983,0.1,arch_not_installed,4.685054685135976e-05,0.1,arch_not_installed,52.0,-0.00300635008915637,0.02946434380967561,0.10206748098007137,0.021559077948151335,0.07725427784308675,-0.0697133326132162,0.07725427784308675,0.029684571010261226,0.04401185855949931,6.0,10.596175551953376,0.10168811803800892,1.9454152810176715,0.09760271535620131,0.19151848276481176,0.11473415129708453,1.101320804137931,0,not_needed
nasa_temperature_max_c,NASA max air temperature,degC,climate_extension,53.0,31.930377358490563,3.042054570304135,28.67,30.01,30.79,31.94,39.15,0,1.2477455937727062,0.28689476248463874,1.9299999999999997,0.09527148821795012,52.0,-0.005172018338347995,0.04400752437752792,-0.187069084053668,-0.019097407144630905,0.002050871991549348,0.014111581213973944,0.1372958498799652,1,-0.8926009691318492,6.389089636597639,0.03320898835860485,8.508771914289936,0.017505250512756837,0.1,arch_not_installed,0.003474616151526011,0.1,arch_not_installed,52.0,-0.005172018338347995,0.04400752437752792,0.15244653627440857,0.02813324790139425,0.187069084053668,-0.187069084053668,0.1372958498799652,0.042342653814993116,0.07769603939004285,6.0,5.871963300699229,0.4376847600076593,0.9511494853474864,0.4704482952290868,0.15968802892063994,0.1699901899297328,2.3275553371112387,0,not_needed
nasa_temperature_min_c,NASA min air temperature,degC,climate_extension,53.0,21.546415094339622,0.866340877882867,19.22,21.03,21.64,22.12,23.39,0,-0.5297299138926889,0.25012306567716136,1.0899999999999999,0.04020812158726396,52.0,-0.0016221469728054773,0.03620844213411549,-0.08015532662742536,-0.029661009752997892,0.00026341671941982107,0.021034543903919095,0.10389627566482774,1,0.2761827703154884,0.21163018108906462,0.05069555365691698,22.32130795860844,0.027557901341545444,0.1,arch_not_installed,4.348819303888097e-18,0.1,arch_not_installed,52.0,-0.0016221469728054773,0.03620844213411549,0.1254297228784114,0.02865388420539298,0.10389627566482774,-0.08015532662742536,0.10389627566482774,0.03453604244271881,0.05248213274573141,6.0,5.244475435724458,0.5128613499044798,0.8364286976222589,0.549382589282595,0.16100892459053406,0.2928527713808755,0.6705282754183197,0,not_needed
nasa_relative_humidity_pct,NASA relative humidity,%,climate_extension,53.0,84.18830188679244,9.546283154241651,57.07,83.33,88.42,90.18,92.85,0,-1.5890735329184393,1.3195876420178014,6.8500000000000085,0.11339203832711209,52.0,0.008245441155657661,0.07204202278819358,-0.26862406581599774,-0.016297394451477452,0.006881937804647749,0.0180479274178877,0.17857872115381687,1,-0.4279657825862231,4.558239383033214,0.03434532186936515,8.737194460330542,0.004073876832887665,0.0813917789715893,arch_not_installed,1.1807519386002108e-05,0.1,arch_not_installed,52.0,0.008245441155657661,0.07204202278819358,0.24956088749837227,0.04375807908108302,0.26862406581599774,-0.26862406581599774,0.17857872115381687,0.06920695746775983,0.12628421448117608,6.0,4.728970905129613,0.5790143809665578,0.7447914810334344,0.6170596336013476,0.24856190347330975,0.23840419248678824,6.6331287377987875,0,not_needed
nasa_wind_speed_ms,NASA wind speed,m/s,climate_extension,53.0,0.13339622641509433,0.016864094336604747,0.09,0.12,0.13,0.14,0.17,0,-0.26148681871793755,0.7687935883791064,0.020000000000000018,0.1264210749420158,52.0,0.011064695094299274,0.1002334784110966,-0.2231435513142097,-0.07027164665364397,0.0,0.07559165603367568,0.22314355131420976,1,-0.13051653766355953,0.10195189780175484,0.14586330268731965,9.058855897686566,0.0039611724139105775,0.1,arch_not_installed,2.9855100959976836e-13,0.1,arch_not_installed,52.0,0.011064695094299276,0.10023347841109659,0.3472189544547549,0.07242379618108082,0.22314355131420976,-0.2231435513142097,0.22314355131420976,0.10163965405421703,0.1214969322711237,6.0,7.972801321820963,0.24010273253863182,1.3627932215152552,0.25376453217865297,0.22238089972590713,0.47009601388973676,0.01054709894062698,0,not_needed
nasa_surface_solar_radiation_mj_m2_day,NASA surface solar radiation,MJ/m^2/day,climate_extension,53.0,18.246924603780446,1.1746265267246778,15.68,17.5,18.19,19.16,20.62,0,-0.06590026513050329,-0.40372632838317335,1.6600000000000001,0.06437394532124693,52.0,-0.00039645653580679493,0.08182198636575248,-0.16904886091236884,-0.05404240285000851,-0.002252133715677468,0.06269900218122015,0.17613750893827912,1,0.06654133536468987,-0.2853116564893332,0.11674140503122866,206.3832450113189,2.245178936890741e-06,0.1,arch_not_installed,0.00014253481071651387,0.1,arch_not_installed,52.0,-0.00039645653580679547,0.08182198636575248,0.2834396751233825,0.06302732382989654,0.17613750893827912,-0.16904886091236884,0.17613750893827912,0.0814668367999276,0.10546774719779656,6.0,5.901563389164499,0.4343069808311031,0.9566498165966763,0.4668526949036358,0.1737957542400872,0.690965882994558,0.6351242535428803,1,iterative_block_specific
